P0700;Transmission Control System Malfunction
P0786;Shift Timing Solenoid A Range/Performance
P0787;Shift Timing Solenoid A low
P0788;Shift Timing Solenoid A High
P0789;Shift Timing Solenoid A Intermittent
P0790;Normal/Performance Switch Circuit Malfunction
P0791;Intermediate Shaft Speed Sensor Circuit
P0792;Intermediate Shaft Speed Sensor Circuit Range/Performance
P0793;Intermediate Shaft Speed Sensor Circuit No signal
P0794;Intermediate Shaft Speed Sensor Circuit Intermittent
P0795;Pressure Control Solenoid C
P0796;Pressure Control Solenoid C Performance or Stuck off
P0797;Pressure Control Solenoid C Stuck On
P0798;Pressure Control Solenoid C Electrical
P0799;Pressure Control Solenoid C Intermittent
P0800;Transmission Control System (MIL Request)
P0801;Reverse Inhibit Control Circuit Malfunction
P0802;Transmission Control System MIL Request Circuit / Open
P0803;1-4 Upshift (Skip Shift) Solenoid Control Circuit Malfunction
P0804;1-4 Upshift (Skip Shift) Lamp Control Circuit Malfunction
P0805;Clutch Position Sensor Circuit Malfunction
P0806;Clutch Position Sensor Circuit Range/Performance Malfunction
P0807;Clutch Position Sensor Circuit Low Malfunction
P0808;Clutch Position Sensor Circuit High Malfunction
P0809;Clutch Position Sensor Circuit Intermittent Malfunction
P0810;Clutch Position Control Error
P0811;Excessive Clutch Slippage
P0812;Reverse Input Circuit
P0813;Reverse Output Circuit
P0814;Transmission Range Display Circuit
P0815;Upshift Switch Circuit
P0816;Downshift Switch Circuit
P0817;Starter Disable Circuit
P0818;Driveline Disconnect Switch Input Circuit
P0819;Up and Down Shift Switch to Transmission Range Correlation
P0820;Gear Lever X - Y Position Sensor Circuit
P0821;Gear Lever X Position Circuit
P0822;Gear Lever Y Position Circuit
P0823;Gear Lever X Position Circuit Intermittent
P0824;Gear Lever Y Position Circuit Intermittent
P0825;Gear Lever Push - Pull Switch (Shift Anticipate)
P0826;Up and Down Switch Input Circuit
P0827;Up and Down Switch Input Circuit Low
P0828;Up and Down Switch Input Circuit High
P0829;5-6 Shift
P0830;Clutch Pedal Switch A Circuit
P0831;Clutch Pedal Switch A Circuit Low
P0832;Clutch Pedal Switch A Circuit High
P0833;Clutch Pedal Switch B Circuit
P0834;Clutch Pedal Switch B Circuit Low
P0835;Clutch Pedal Switch B Circuit High
P0836;Four Wheel Drive (4WD) Switch Circuit
P0837;Four Wheel Drive (4WD) Switch Circuit Range/Performance
P0838;Four Wheel Drive (4WD) Switch Circuit Low
P0839;Four Wheel Drive (4WD) Switch Circuit High
P0840;Transmission Fluid Pressure Sensor/Switch A Circuit
P0841;Transmission Fluid Pressure Sensor/Switch A Circuit Range/Performance
P0842;Transmission Fluid Pressure Sensor/Switch A Circuit Low
P0843;Transmission Fluid Pressure Sensor/Switch A Circuit High
P0844;Transmission Fluid Pressure Sensor/Switch A Circuit Intermittent
P0845;Transmission Fluid Pressure Sensor/Switch B Circuit
P0846;Transmission Fluid Pressure Sensor/Switch B Circuit Range/Performance
P0847;Transmission Fluid Pressure Sensor/Switch B Circuit Low
P0848;Transmission Fluid Pressure Sensor/Switch B Circuit High
P0849;Transmission Fluid Pressure Sensor/Switch B Circuit Intermittent
