P0967;Pressure Control Solenoid B Control Circuit High
P0968;Pressure Control Solenoid C Control Circuit / Open
P0969;Pressure Control Solenoid C Control Circuit Range/Performance
P0970;Pressure Control Solenoid C Control Circuit Low
P0971;Pressure Control Solenoid C Control Circuit High
P0972;Shift Solenoid A Control Circuit Range/Performance
P0973;Shift Solenoid A Control Circuit Low
P0974;Shift Solenoid A Control Circuit High
P0975;Shift Solenoid B Control Circuit Range/Performance
P0976;Shift Solenoid B Control Circuit Low
P0977;Shift Solenoid B Control Circuit High
P0978;Shift Solenoid C Control Circuit Range/Performance
P0979;Shift Solenoid C Control Circuit Low
P0980;Shift Solenoid C Control Circuit High
P0981;Shift Solenoid D Control Circuit Range/Performance
P0982;Shift Solenoid D Control Circuit Low
P0983;Shift Solenoid D Control Circuit High
P0984;Shift Solenoid E Control Circuit Range/Performance
P0985;Shift Solenoid E Control Circuit Low
P0986;Shift Solenoid E Control Circuit High
P0987;Transmission Fluid Pressure Sensor/Switch E Circuit
P0988;Transmission Fluid Pressure Sensor/Switch E Circuit Range/Performance
P0989;Transmission Fluid Pressure Sensor/Switch E Circuit Low
P0990;Transmission Fluid Pressure Sensor/Switch E Circuit High
P0991;Transmission Fluid Pressure Sensor/Switch E Circuit Intermittent
P0992;Transmission Fluid Pressure Sensor/Switch F Circuit
P0993;Transmission Fluid Pressure Sensor/Switch F Circuit Range/Performance
P0994;Transmission Fluid Pressure Sensor/Switch F Circuit Low
P0995;Transmission Fluid Pressure Sensor/Switch F Circuit High
P0996;Transmission Fluid Pressure Sensor/Switch F Circuit Intermittent
P0997;Shift Solenoid F Control Circuit Range/Performance
P0998;Shift Solenoid F Control Circuit Low
P0999;Shift Solenoid F Control Circuit High
